Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2022-11-02 05:44:39Z : PB = 328761344 : In   : ------------------------------------ StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2022-11-02 05:45:08Z : PB = 388431872 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:08Z : PB = 388603904 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:08Z : PB = 388603904 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:08Z : PB = 388603904 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:10Z : PB = 369876992 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:10Z : PB = 369876992 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:10Z : PB = 369876992 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:10Z : PB = 369876992 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:10Z : PB = 369876992 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:10Z : PB = 369876992 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:10Z : PB = 369876992 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:10Z : PB = 369876992 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:11Z : PB = 372506624 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:11Z : PB = 372506624 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:11Z : PB = 372506624 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:11Z : PB = 372506624 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:11Z : PB = 372506624 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:11Z : PB = 372506624 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:11Z : PB = 372506624 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:11Z : PB = 372506624 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:11Z : PB = 375963648 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:11Z : PB = 375963648 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:11Z : PB = 375963648 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:11Z : PB = 375963648 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:11Z : PB = 375963648 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:11Z : PB = 375963648 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:11Z : PB = 375963648 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:11Z : PB = 375963648 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:14Z : PB = 371093504 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:14Z : PB = 371093504 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:14Z : PB = 371093504 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:14Z : PB = 371093504 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:14Z : PB = 371093504 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:14Z : PB = 371093504 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:14Z : PB = 371093504 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:14Z : PB = 371093504 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:14Z : PB = 373280768 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:14Z : PB = 373280768 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:14Z : PB = 373280768 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:14Z : PB = 373280768 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:14Z : PB = 373280768 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:14Z : PB = 373280768 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:14Z : PB = 373280768 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:14Z : PB = 373280768 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:15Z : PB = 376410112 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:15Z : PB = 376410112 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:15Z : PB = 376410112 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:15Z : PB = 376410112 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:15Z : PB = 376410112 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:15Z : PB = 376410112 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:15Z : PB = 376410112 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:15Z : PB = 376410112 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:15Z : PB = 378744832 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:15Z : PB = 378744832 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:15Z : PB = 378744832 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:15Z : PB = 378744832 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:15Z : PB = 378744832 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:15Z : PB = 378744832 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:15Z : PB = 378744832 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:15Z : PB = 378744832 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:15Z : PB = 382197760 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:15Z : PB = 382197760 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:15Z : PB = 382197760 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:15Z : PB = 382197760 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:15Z : PB = 382197760 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:15Z : PB = 382197760 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:15Z : PB = 382197760 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:15Z : PB = 382197760 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:16Z : PB = 386015232 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:16Z : PB = 386015232 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:16Z : PB = 386015232 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:16Z : PB = 386015232 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:16Z : PB = 386015232 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:16Z : PB = 385724416 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:16Z : PB = 385724416 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:16Z : PB = 385724416 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:16Z : PB = 389353472 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:16Z : PB = 389353472 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:16Z : PB = 389353472 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:16Z : PB = 389353472 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:16Z : PB = 389353472 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:16Z : PB = 389353472 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:16Z : PB = 389353472 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:16Z : PB = 389353472 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:17Z : PB = 368918528 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:17Z : PB = 368918528 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:17Z : PB = 368918528 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:17Z : PB = 368918528 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:17Z : PB = 368918528 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:17Z : PB = 368918528 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:17Z : PB = 368918528 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:17Z : PB = 368918528 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:17Z : PB = 371425280 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:17Z : PB = 371425280 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:17Z : PB = 371425280 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:17Z : PB = 371425280 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:17Z : PB = 371425280 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:17Z : PB = 371429376 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:17Z : PB = 371429376 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:17Z : PB = 371429376 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:18Z : PB = 368799744 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:18Z : PB = 368799744 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:18Z : PB = 368799744 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:18Z : PB = 368799744 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2022-11-02 05:45:18Z : PB = 368799744 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2022-11-02 05:45:18Z : PB = 368799744 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2022-11-02 05:45:18Z : PB = 368799744 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2022-11-02 05:45:18Z : PB = 368799744 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2022-11-02 05:45:19Z : PB = 369528832 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2022-11-02 05:45:19Z : PB = 369528832 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2022-11-02 05:45:19Z : PB = 369528832 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2022-11-02 05:45:19Z : PB = 369528832 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
